subjid cohort abs_mean abs_max rel_mean rel_max
TX0047TXMR1R1 1 0.100 0.280 0.030 0.120
TX0050TXMR1R1 1 0.233 0.596 0.105 0.314
TX0055TXMR1R1 1 0.150 0.454 0.029 0.140
TX0059TXMR1R1 1 0.090 0.215 0.025 0.088
TX0061TXMR1R1 1 0.312 0.678 0.082 0.411
TX0066TXMR1R1 1 0.302 1.034 0.036 0.510
TX0067TXMR1R1 1 0.148 0.315 0.051 0.217
TX0068TXMR1R1 1 0.294 0.739 0.064 0.288
TX0070TXMR1R1 1 0.079 0.184 0.028 0.132
TX0071TXMR1R1 1 0.096 0.331 0.029 0.313
TX0074TXMR1R1 1 0.164 0.582 0.029 0.091
TX0078TXMR1R1 1 0.138 0.322 0.052 0.206
TX0085TXMR1R1 1 0.204 0.524 0.130 0.371
TX0088TXMR1R1 1 0.176 0.401 0.024 0.150
TX0091TXMR1R1 1 0.115 0.262 0.062 0.189
TX0092TXMR1R1 1 0.333 0.714 0.097 0.250
TX0093TXMR1R1 1 0.212 0.737 0.019 0.189
TX0094TXMR1R1 1 0.173 0.440 0.024 0.108
TX0095TXMR1R1 1 0.185 0.567 0.094 0.306
TX0096TXMR1R1 1 0.245 0.681 0.036 0.107
TX0097TXMR1R1 1 0.322 0.877 0.046 0.237
TX0100TXMR1R1 1 0.373 0.805 0.056 0.382
TX0101TXMR1R1 1 0.180 0.591 0.056 0.408
TX0103TXMR1R1 1 0.236 1.056 0.083 0.491
TX0106TXMR1R1 1 0.268 0.536 0.037 0.120
TX0107TXMR1R1 1 0.154 0.367 0.026 0.092
TX0108TXMR1R1 1 0.114 0.277 0.046 0.217
TX0110TXMR1R1 1 0.090 0.215 0.033 0.139
TX0112TXMR1R1 1 0.270 0.763 0.080 0.333
TX0114TXMR1R1 1 0.072 0.364 0.036 0.335
TX0115TXMR1R1 1 0.118 0.461 0.026 0.132
TX0119TXMR1R1 1 0.106 0.490 0.030 0.403
TX0122TXMR1R1 1 0.159 0.353 0.045 0.184
TX0123TXMR1R1 1 0.198 0.447 0.043 0.213
TX0129TXMR1R1 1 0.095 0.251 0.032 0.182
TX0130TXMR1R1 1 0.118 0.321 0.032 0.224
TX0132TXMR1R1 1 0.155 0.500 0.065 0.268
TX0133TXMR1R1 1 0.220 0.345 0.031 0.208
