cohort subjid reg_qc
UM0050UMMR1R1 1 0.5937
UM0056UMMR1R1 1 0.4817
UM0058UMMR1R1 1 0.5316
UM0060UMMR1R1 1 0.4811
UM0065UMMR1R1 1 0.5207
UM0066UMMR1R1 1 0.4805
UM0078UMMR1R1 1 0.4898
UM0079UMMR1R1 1 0.5795
UM0080UMMR1R1 1 0.4772
UM0082UMMR1R1 1 0.5601
UM0083UMMR1R1 1 0.5307
UM0088UMMR1R1 1 0.4501
UM0090UMMR1R1 1 0.6007
UM0114UMMR1R1 1 0.5761
UM0118UMMR1R1 1 0.4446
UM0119UMMR1R1 1 0.6067
UM0121UMMR1R1 1 0.4969
